NDVI01,NDVI02,NDVI03,NDVI04,NDVI05,NDVI06,NDVI07,NDVI08,NDVI09,NDVI10,NDVI11,NDVI12,label
0.111000498,0.097161572,0.123254402,0.227183191,0.216284987,0.262646702,0.488721805,0.504480759,0.752212389,0.698047937,0.600207415,0.547592385,cotton
0.083253589,0.092436975,0.304109589,0.518900344,0.551304348,0.561263158,0.688193085,0.759562842,0.836886006,0.770114943,0.806556489,0.673814898,cotton
0.075244545,0.142857143,0.418723404,0.579332791,0.627376426,0.55959596,0.715103209,0.769315918,0.827135678,0.76961958,0.865656566,0.719356628,cotton
0.095696203,0.135534318,0.222793087,0.445802771,0.558841651,0.376959782,0.627906977,0.737509707,0.782051282,0.719204512,0.778042959,0.713425647,cotton
0.089439655,0.087504501,0.166089965,0.241706161,0.416744186,0.464136622,0.694568121,0.838675885,0.834570886,0.831767338,0.855306647,0.740786241,cotton
0.089478859,0.089165868,0.205089059,0.256182921,0.393401015,0.348571429,0.636597276,0.771119843,0.813691275,0.720901889,0.650756694,0.197734295,cotton
0.110280374,0.13750571,0.285315985,0.428919578,0.385964912,0.50656168,0.680038666,0.807748897,0.864498645,0.73923517,0.737347006,0.641836424,cotton
0.090239411,0.076923077,0.227138643,0.34198783,0.566536965,0.356159548,0.664864865,0.712911758,0.828890581,0.74984672,0.771708323,0.713763703,cotton
0.113043478,0.107769424,0.309775126,0.531050056,0.435705368,0.508196721,0.663918833,0.664750111,0.683698297,0.624965171,0.669148592,0.135112936,cotton
0.159076731,0.101377605,0.20649652,0.294803818,0.318230852,0.328678304,0.521164021,0.488276217,0.710234279,0.672851841,0.638287638,0.256526674,cotton
0.111611161,0.084998307,0.195706028,0.366129734,0.507228545,0.53826087,0.651515152,0.707109005,0.729676303,0.713036349,0.658200063,0.562296858,cotton
0.078805678,0.103873239,0.216135458,0.284064665,0.430038511,0.368829728,0.637073679,0.826241135,0.847324614,0.772791024,0.782079301,0.198976982,cotton
0.086294416,0.104547221,0.28666036,0.462660186,0.422120168,0.524660194,0.691476091,0.76162379,0.86130446,0.754032258,0.82171799,0.682408501,cotton
0.107613781,0.145357686,0.22195122,0.359344894,0.537909836,0.371773751,0.576693227,0.574320416,0.718032787,0.705309456,0.676150334,0.326754386,cotton
0.128577919,0.225485316,0.377969762,0.590472211,0.46374502,0.528156997,0.725726588,0.843163243,0.87209902,0.70438937,0.684067797,0.298036883,cotton
0.141208418,0.073553719,0.224835372,0.326923077,0.365104372,0.531723291,0.679487179,0.747713252,0.838019707,0.717314488,0.734204793,0.580493537,cotton
